case,nx,ny,nz,nl,nm,p_hyper_m,timestep,pairs,baseline_mean,candidate_mean,reduction_percent,minimum_reduction_percent,maximum_reduction_percent,positive_pairs,scatter_sem_percent,iat_sem_percent,conservative_sem_percent,ci95_low_percent,ci95_high_percent,median_tau_baseline,median_tau_candidate,median_window_in_tau,minimum_window_in_tau,baseline_half_shift_percent,baseline_half_shift_sem_percent,candidate_half_shift_percent,candidate_half_shift_sem_percent,mean_abs_half_shift_percent,mean_abs_trend_percent,stationary_traces,nonstationary_traces,all_traces_stationary,resolved_spectra_available,promotion_ready,total_gpu_seconds
nominal,16,16,24,4,8,4,0.05,24,11.163087551898123,9.783029057110825,12.260220790317737,5.645069063911387,20.638210647436864,24,0.7846528651335183,0.7801251769426317,0.7846528651335183,10.63704266932218,13.883398911313295,14.140675753237257,13.57836178465938,28.69780382764099,12.907986661116272,1.1216716845865513,1.4797376018810149,-1.5597557943958407,1.0563257967694566,5.104305491068488,8.711649571787948,44,4,0,0,0,7361.847962386906
dt04,16,16,24,4,8,4,0.04,8,11.26966022322102,9.584608609826859,14.786137605272701,5.889367749065621,22.749151992632584,8,1.8027375183801435,1.2626157118635843,1.8027375183801435,10.523340750054821,19.04893446049058,17.552271682163106,14.297562792313057,26.53502075913827,12.508187914761573,0.11655019469709527,2.6849138960442875,0.30883105729501326,2.456552988933554,6.271976628135912,9.554247178159237,13,3,0,0,0,3065.0843193847686
dt025,16,16,24,4,8,4,0.025,4,10.760370761331004,9.398941863313919,12.574750094949858,8.63702815082726,17.245331513400732,4,1.9069152886118088,1.4679062784359413,1.9069152886118088,6.506094580217133,18.64340560968258,12.137184751481392,11.204411156338173,32.9801023438769,23.886163107736103,-3.066299240649944,3.2792124220607803,3.4779185546978937,2.488714042929195,4.248030377905323,6.967716849832476,7,1,0,0,0,2444.7382738566957
perp12,12,12,24,4,8,4,0.05,4,18.728731671238332,14.380183641918133,23.12991808891203,15.293297859236764,28.02068535667977,4,2.798753772206952,2.3429841426888127,2.798753772206952,14.223034487151622,32.03680169067244,14.12534067361187,14.032065464628243,28.433335565003507,18.546728787554592,3.4481273081204122,4.147099393203874,2.4890303516585144,3.26518162330076,5.170321518228486,12.09100652778893,7,1,0,0,0,754.8893727175891
perp20,20,20,24,4,8,4,0.05,16,10.048397212939202,9.53485195456891,4.952250469340283,-3.460113235693652,12.898574740947401,12,1.3265127626176467,1.2780635475944464,1.3265127626176467,2.124855444280258,7.779645494400309,18.52353018346296,15.72324472544328,22.905125711813064,9.57121475462713,1.0245936632492456,2.1656217672004674,-1.9735678354696704,1.7115148002277438,6.024156692942714,11.001532369241552,27,5,0,0,0,7761.968117871787
perp24,24,24,24,4,8,4,0.05,4,9.272784293596068,9.240316286432703,0.04412231560183799,-12.138272585779374,8.565411529828776,2,4.686207382707753,2.4993378991220627,4.686207382707753,-14.869481055292287,14.957725686495962,24.155756463792784,10.314127304743103,23.33614913350569,12.208656979408257,6.940160781129352,2.425858420794163,-1.807663131781399,1.3610660315919694,4.7159879421687005,9.423716362910286,6,2,0,0,0,2760.32206352707
perp24long,24,24,24,4,8,4,0.05,16,9.918207154448794,9.066926257461361,8.498348172466699,0.7341666797956014,12.431753150842525,16,0.9079347616415808,1.013615126687174,1.013615126687174,6.337878671317267,10.65881767361613,22.28536088317316,14.909800813510957,37.184490847723836,14.00285822478699,1.0282224459646527,1.8182028765058802,1.5408498376361939,1.5764407850515503,5.503044692382364,9.552561939442427,30,2,0,0,0,18248.93028958235
z16,16,16,16,4,8,4,0.05,4,10.738698377875565,9.75942598939109,9.058184033619714,5.485323614011224,12.602908059703317,4,1.5063233824810958,2.1001811042576524,2.1001811042576524,2.3744704379471253,15.741897629292303,9.083634564760017,20.98791636815634,37.94643638768136,9.188822453362935,-0.026151052133687624,2.6892447982166567,-2.4588799577353595,6.137864680745698,6.734783852982114,11.127988125315964,6,2,0,0,0,878.8009618311189
z32,16,16,32,4,8,4,0.05,4,11.602529929883856,10.149638468831125,12.505936846431961,9.676634514517753,15.737695877706026,4,1.2929347377619422,2.1184940605576656,2.1184940605576656,5.763943250643563,19.24793044222036,15.11850336042535,19.404064589859832,25.83628511118252,12.039363725370425,2.092925320457704,3.6519700542404925,-2.265526606247611,3.412427963567131,5.789120909307151,10.873537357506056,8,0,1,0,0,1804.6745246294886
v36,16,16,24,3,6,3,0.05,4,13.778952103571884,11.330934199142629,17.11591051759682,6.656778258100723,28.923206127825715,4,5.245741898395299,2.2215220696151747,5.245741898395299,0.4216185945738431,33.8102024406198,22.013270128365782,16.351765691589026,20.073456306736112,13.152716888087786,4.033969788535609,6.484663782636429,-1.321813030421639,5.690341582513947,9.715703405748119,14.677913543961493,6,2,0,0,0,839.1516624526121
v612,16,16,24,6,12,6,0.05,16,10.925730729859696,9.558941881639832,12.324517405147844,0.6964858137578886,20.237114617806807,16,1.2703055585419905,0.905488929654366,1.2703055585419905,9.616925199672037,15.032109610623651,13.84626146582547,16.57734496408923,27.18557972768074,12.673113041083562,0.7472394968603872,1.243164776384395,-0.9204015621889463,1.7162633572138968,4.837152444003642,8.931087063979293,30,2,0,0,0,9226.406763794366
