code,source,key,nu,hypercollisions,Nl,t_end,gamma,omega,gamma_half_time_shift,settled,gamma_rel_change_from_prev_nl,process_wall_seconds,peak_rss_kb,peak_device_mb,superseded
GKX,Q3 06606e404 (reused),full_nl24,0.0,kz,24,150.0,0.032827982476909594,0.5001081051740415,0.017399809997407832,True,,320.56,1239900.0,103.00048828125,False
GKX,Q3 06606e404 (reused),full_nl32,0.0,kz,32,150.0,0.024995773878731965,0.5048209729657315,-0.13988659539538764,False,-0.2385833062901936,505.91,1240436.0,53.780029296875,False
GKX,Q3 06606e404 (reused),full_nl48,0.0,kz,48,150.0,0.019771772857001085,0.4969194763943846,0.05656502877908262,False,-0.20899537046043615,738.46,1240352.0,93.30419921875,False
GKX,Q8 578b97074,nu0-nl64,0.0,kz,64,150.0,0.01770006683034597,0.48939924722991707,0.19289787784760534,False,,867.04,1225656,173.314697265625,True
GKX,Q8 578b97074,nu0-nl64-t300,0.0,kz,64,300.0,0.016230259487143624,0.4880704434741352,0.09055969464731076,False,-0.17911966698542303,1672.33,1232060,173.498779296875,False
GKX,Q8 578b97074,nu1e-3-nl16,0.001,kz,16,150.0,0.03369553493463767,0.48769648175840086,-0.0004231481712772902,True,,260.07,1255588,101.2998046875,False
GKX,Q3 06606e404 (reused),nu1e-3_nl24,0.001,kz,24,150.0,0.029127443559562774,0.49733270627727577,0.010076467246711308,True,-0.1355696350847685,355.29,1262808.0,103.00048828125,False
GKX,Q3 06606e404 (reused),nu1e-3_nl32,0.001,kz,32,150.0,0.017411819167885093,0.501086523906265,-0.038366096968400654,True,-0.4022194521712959,497.83,1250004.0,85.780029296875,False
GKX,Q8 578b97074,nu1e-3-nl48,0.001,kz,48,150.0,0.020051123718416466,0.4944029021508714,-0.009684936270873737,True,0.1515812061383792,723.97,1243992,93.303955078125,False
GKX,Q8 578b97074,nu3e-3-nl16,0.003,kz,16,150.0,0.02989422082098605,0.4903990433627203,0.0004949257963254814,True,,260.47,1260580,101.297607421875,False
GKX,Q8 578b97074,nu3e-3-nl24,0.003,kz,24,150.0,0.023413981372231437,0.49653823916293943,0.0007385903006101184,True,-0.2167723148751687,341.73,1260928,103.00048828125,False
GKX,Q8 578b97074,nu3e-3-nl32,0.003,kz,32,150.0,0.017487290016205907,0.495787430297559,-0.00020826226903273895,True,-0.25312616687457007,490.14,1244892,85.780029296875,False
GKX,Q8 578b97074,nu3e-3-nl48,0.003,kz,48,150.0,0.01869814947251272,0.4943893559963258,-0.0002035164449708351,True,0.06924225853089186,694.21,1249188,93.303955078125,False
GKX,Q8 578b97074,nu1e-2-nl16,0.01,kz,16,150.0,0.01968014554479609,0.4947025048179223,5.634912210471987e-06,True,,260.42,1255264,101.2998046875,False
GKX,Q3 06606e404 (reused),nu1e-2_nl24,0.01,kz,24,150.0,0.017437760487491735,0.49576906629342365,2.4172085400784045e-05,True,-0.11394148748545696,359.52,1262780.0,103.00048828125,False
GKX,Q3 06606e404 (reused),nu1e-2_nl32,0.01,kz,32,150.0,0.017165697128300794,0.49570539900209504,2.3036591928538585e-05,True,-0.015601966742581073,497.33,1249492.0,85.780029296875,False
GKX,Q8 578b97074,nu1e-2-nl48,0.01,kz,48,150.0,0.01716946243357284,0.4956852496236797,2.2941590147687994e-05,True,0.00021935055965998336,706.92,1253508,93.303955078125,False
