| rung (Nz,ntheta,nperiod,Nl,Nm) | arm | n | batches | nnz | nnz/row | L+U nnz (fill) | asm s | factor s | eigs s (LU solves) | route s | process wall | peak RSS GiB | residual | certified | gamma | omega | note |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 1 (32, 32, 1, 4, 8) | default | 1024 | — | — | — | — | — | — | — | 8.41 | 0:10.78 | 1.15 | 4.00e-15 | True | 0.115731 | 0.241660 |  |
| 1 (32, 32, 1, 4, 8) | propagator | 1024 | — | — | — | — | — | — | — | 2.75 | 0:05.91 | 0.91 | 9.83e-01 | False | 0.025546 | 0.210764 |  |
| 1 (32, 32, 1, 4, 8) | sparse | 1024 | 16 | 85714 | 83.7 | 503860 (5.9) | 0.63 | 0.12 | 0.13 (65, 0.08) | 3.03 | 0:05.13 | 0.91 | 1.49e-14 | True | 0.115731 | 0.241660 |  |
| 2 (48, 16, 2, 8, 16) | default | 6144 | — | — | — | — | — | — | — | 27.79 | 0:30.17 | 1.17 | 3.20e-15 | True | 0.098247 | 0.277052 |  |
| 2 (48, 16, 2, 8, 16) | propagator | 6144 | — | — | — | — | — | — | — | 2.79 | 0:05.91 | 0.92 | 9.89e-01 | False | 0.045301 | 0.340508 |  |
| 2 (48, 16, 2, 8, 16) | sparse | 6144 | 96 | 831831 | 135.4 | 8507897 (10.2) | 2.48 | 5.99 | 2.98 (156, 2.90) | 13.57 | 0:15.77 | 1.05 | 5.15e-14 | True | 0.098247 | 0.277052 |  |
| 3 (96, 32, 2, 8, 24) | default | 18432 | — | — | — | — | — | — | — | 82.03 | 1:24.55 | 1.22 | 6.45e-15 | True | 0.098776 | 0.276905 |  |
| 3 (96, 32, 2, 8, 24) | propagator | 18432 | — | — | — | — | — | — | — | 2.96 | 0:06.08 | 0.93 | 9.99e-01 | False | 0.074911 | 0.166190 |  |
| 3 (96, 32, 2, 8, 24) | sparse | 18432 | 288 | 4760571 | 258.3 | 58803460 (12.4) | 17.23 | 115.14 | 20.69 (161, 19.40) | 155.27 | 2:37.75 | 2.36 | 3.10e-13 | True | 0.098776 | 0.276905 |  |
| 4 (96, 32, 2, 16, 48) | default | 73728 | — | — | — | — | — | — | — | 760.88 | 12:43.39 | 1.27 | 1.08e-14 | True | 0.093091 | 0.282033 |  |
| 4 (96, 32, 2, 16, 48) | propagator | 73728 | — | — | — | — | — | — | — | 3.30 | 0:06.36 | 0.93 | 9.96e-01 | False | 0.043108 | 0.392217 |  |
| r4_sparse | — | — | — | — | — | — | — | — | — | — | None | — | — | — | — | — | no RESULT line; exit None |
