geometry,code,quantity,theta0,thetapi,maxrel_vs_ref(|theta|<=pi),ref
S,gx,bmag,0.84746,1.21951,0.00e+00,gx
S,gx,gradpar,0.25714,0.25714,0.00e+00,gx
S,gx,gds2,1.00000,7.31655,0.00e+00,gx
S,gx,gbdrift,0.36000,-0.36000,0.00e+00,gx
S,gx,cvdrift,0.36000,-0.36000,0.00e+00,gx
S,gs2,bmag,0.84746,1.21951,4.25e-08,gx
S,gs2,gradpar,0.25714,0.25714,4.49e-08,gx
S,gs2,gds2,1.00000,7.31655,5.69e-08,gx
S,gs2,gbdrift,0.36000,-0.36000,7.16e-08,gx
S,gs2,cvdrift,0.36000,-0.36000,7.16e-08,gx
S,gkx,bmag,0.84746,1.21951,4.25e-08,gx
S,gkx,gradpar,0.25714,0.25714,4.50e-08,gx
S,gkx,gds2,1.00000,7.31655,5.85e-08,gx
S,gkx,gbdrift,0.36000,-0.36000,6.66e-08,gx
S,gkx,cvdrift,0.36000,-0.36000,6.66e-08,gx
M,gs2,bmag,0.85457,1.22975,0.00e+00,gs2
M,gs2,gradpar,0.25924,0.25924,0.00e+00,gs2
M,gs2,gds2,0.72549,7.93642,0.00e+00,gs2
M,gs2,gbdrift,0.33215,-0.39581,0.00e+00,gs2
M,gs2,cvdrift,0.33215,-0.39581,0.00e+00,gs2
M,stella,bmag,0.85466,1.22988,1.15e-04,gs2
M,stella,gradpar,0.25921,0.25921,1.01e-04,gs2
M,stella,gds2,0.73044,8.03541,1.25e-02,gs2
M,stella,gbdrift,0.33353,-0.39809,1.06e-02,gs2
M,stella,cvdrift,0.33353,-0.39809,1.06e-02,gs2
M,gx,bmag,0.85457,1.22975,8.19e-04,gs2
M,gx,gradpar,0.25791,0.25791,5.13e-03,gs2
M,gx,gds2,0.72549,7.93642,2.85e-03,gs2
M,gx,gbdrift,0.33341,-0.39836,1.30e-02,gs2
M,gx,cvdrift,0.33341,-0.39836,1.30e-02,gs2
M,gkx,bmag,0.85457,1.22975,8.19e-04,gs2
M,gkx,gradpar,0.25791,0.25791,5.13e-03,gs2
M,gkx,gds2,0.72549,7.93642,2.85e-03,gs2
M,gkx,gbdrift,0.33341,-0.39836,1.30e-02,gs2
M,gkx,cvdrift,0.33341,-0.39836,1.30e-02,gs2
