| family | a | b | phi overlap | state overlap | common Nl | retained a | retained b | gamma a | gamma b |
|---|---|---|---|---|---|---|---|---|---|
| nl-ladder nu=0 | nu0-nl24 | nu0-nl32 | 0.991267 | 0.826802 | 24 | 1.000000 | 0.960220 | 0.033006 | 0.024853 |
| nl-ladder nu=0 | nu0-nl24 | nu0-nl48 | 0.994385 | 0.914864 | 24 | 1.000000 | 0.930949 | 0.033006 | 0.018346 |
| nl-ladder nu=0 | nu0-nl32 | nu0-nl48 | 0.992315 | 0.831677 | 32 | 1.000000 | 0.959967 | 0.024853 | 0.018346 |
| nl-ladder nu=0.001 | nu1e-3-nl24 | nu1e-3-nl32 | 0.997416 | 0.941181 | 24 | 1.000000 | 0.977799 | 0.029125 | 0.017413 |
| nl-ladder nu=0.001 | nu1e-3-nl24 | nu1e-3-nl48 | 0.998830 | 0.970288 | 24 | 1.000000 | 0.975460 | 0.029125 | 0.020052 |
| nl-ladder nu=0.001 | nu1e-3-nl32 | nu1e-3-nl48 | 0.999117 | 0.970080 | 32 | 1.000000 | 0.988387 | 0.017413 | 0.020052 |
| nl-ladder nu=0.003 | nu3e-3-nl24 | nu3e-3-nl32 | 0.999701 | 0.990416 | 24 | 1.000000 | 0.994267 | 0.023414 | 0.017487 |
| nl-ladder nu=0.003 | nu3e-3-nl24 | nu3e-3-nl48 | 0.999794 | 0.992351 | 24 | 1.000000 | 0.994665 | 0.023414 | 0.018698 |
| nl-ladder nu=0.003 | nu3e-3-nl32 | nu3e-3-nl48 | 0.999970 | 0.997507 | 32 | 1.000000 | 0.998431 | 0.017487 | 0.018698 |
| nl-ladder nu=0.01 | nu1e-2-nl24 | nu1e-2-nl32 | 1.000000 | 0.999871 | 24 | 1.000000 | 0.999866 | 0.017438 | 0.017166 |
| nl-ladder nu=0.01 | nu1e-2-nl24 | nu1e-2-nl48 | 1.000000 | 0.999869 | 24 | 1.000000 | 0.999871 | 0.017438 | 0.017169 |
| nl-ladder nu=0.01 | nu1e-2-nl32 | nu1e-2-nl48 | 1.000000 | 0.999989 | 32 | 1.000000 | 0.999988 | 0.017166 | 0.017169 |
| nu-family Nl=24 | nu0-nl24 | nu1e-3-nl24 | 0.999559 | 0.977862 | 24 | 1.000000 | 1.000000 | 0.033006 | 0.029125 |
| nu-family Nl=24 | nu0-nl24 | nu3e-3-nl24 | 0.998882 | 0.919741 | 24 | 1.000000 | 1.000000 | 0.033006 | 0.023414 |
| nu-family Nl=24 | nu0-nl24 | nu1e-2-nl24 | 0.998202 | 0.813907 | 24 | 1.000000 | 1.000000 | 0.033006 | 0.017438 |
| nu-family Nl=24 | nu1e-3-nl24 | nu3e-3-nl24 | 0.999681 | 0.977948 | 24 | 1.000000 | 1.000000 | 0.029125 | 0.023414 |
| nu-family Nl=24 | nu1e-3-nl24 | nu1e-2-nl24 | 0.999047 | 0.894595 | 24 | 1.000000 | 1.000000 | 0.029125 | 0.017438 |
| nu-family Nl=24 | nu3e-3-nl24 | nu1e-2-nl24 | 0.999757 | 0.960480 | 24 | 1.000000 | 1.000000 | 0.023414 | 0.017438 |
| nu-family Nl=32 | nu0-nl32 | nu1e-3-nl32 | 0.997050 | 0.962265 | 32 | 1.000000 | 1.000000 | 0.024853 | 0.017413 |
| nu-family Nl=32 | nu0-nl32 | nu3e-3-nl32 | 0.994175 | 0.873410 | 32 | 1.000000 | 1.000000 | 0.024853 | 0.017487 |
| nu-family Nl=32 | nu0-nl32 | nu1e-2-nl32 | 0.993721 | 0.759931 | 32 | 1.000000 | 1.000000 | 0.024853 | 0.017166 |
| nu-family Nl=32 | nu1e-3-nl32 | nu3e-3-nl32 | 0.999211 | 0.965754 | 32 | 1.000000 | 1.000000 | 0.017413 | 0.017487 |
| nu-family Nl=32 | nu1e-3-nl32 | nu1e-2-nl32 | 0.998595 | 0.870210 | 32 | 1.000000 | 1.000000 | 0.017413 | 0.017166 |
| nu-family Nl=32 | nu3e-3-nl32 | nu1e-2-nl32 | 0.999729 | 0.957102 | 32 | 1.000000 | 1.000000 | 0.017487 | 0.017166 |
| nu-family Nl=48 | nu0-nl48 | nu1e-3-nl48 | 0.998003 | 0.926831 | 48 | 1.000000 | 1.000000 | 0.018346 | 0.020052 |
| nu-family Nl=48 | nu0-nl48 | nu3e-3-nl48 | 0.997470 | 0.842420 | 48 | 1.000000 | 1.000000 | 0.018346 | 0.018698 |
| nu-family Nl=48 | nu0-nl48 | nu1e-2-nl48 | 0.996938 | 0.734771 | 48 | 1.000000 | 1.000000 | 0.018346 | 0.017169 |
| nu-family Nl=48 | nu1e-3-nl48 | nu3e-3-nl48 | 0.999939 | 0.973868 | 48 | 1.000000 | 1.000000 | 0.020052 | 0.018698 |
| nu-family Nl=48 | nu1e-3-nl48 | nu1e-2-nl48 | 0.999555 | 0.887120 | 48 | 1.000000 | 1.000000 | 0.020052 | 0.017169 |
| nu-family Nl=48 | nu3e-3-nl48 | nu1e-2-nl48 | 0.999773 | 0.959272 | 48 | 1.000000 | 1.000000 | 0.018698 | 0.017169 |
