           Ny        layout           nky          flat        gather          copy        transp        concat           rev bytes_written  materialized     fused_int          temp
           16          full            16           512             6             7             7             3             2       3532800       1680384       1852416       1572880
           16          half             9           288             6             6             6             1             0        829440        107520        721920        267264
           32          full            32          1024             6             7             7             3             2       7001088       3414528       3586560       3145760
           32          half            17           544             6             6             6             1             0       1545216        268800       1276416        428544
           48          full            48          1536             6             7             7             3             2      10469376       5148672       5320704       4718832
           48          half            25           800             6             6             6             1             0       2260992        430080       1830912        589824
           62          full            62          1984             6             7             7             3             2      13544448       6686208       6858240       6095166
           62          half            32          1024             6             6             6             1             0       2927616        591360       2336256        751104
           64          full            64          2048             6             7             7             3             2      14002176       6915072       7087104       6291520
           64          half            33          1056             6             6             6             1             0       3041280        623616       2417664        783360
